"quart_start","quarter","type","n_tiles","avg_d_mbps","avg_u_mbps","tests","country"
2019-01-01,"Q1","fixed",1114,15.6745134505134,10.0049370629371,15873,"BRN"
2019-04-01,"Q2","fixed",1053,17.636158442878,10.807408458754,15747,"BRN"
2019-07-01,"Q3","fixed",1019,19.2782759618344,12.0343558633426,16245,"BRN"
2019-10-01,"Q4","fixed",1110,20.7202997454834,13.6727102265615,23967,"BRN"
2020-01-01,"Q1","fixed",1215,21.5710312574616,13.6588909244828,46069,"BRN"
2020-04-01,"Q2","fixed",1146,22.3592268259102,13.9886463769972,31231,"BRN"
2020-07-01,"Q3","fixed",1101,21.9502861447138,13.8044613931735,22237,"BRN"
2020-10-01,"Q4","fixed",16,11.3164615384615,12.3906923076923,26,"BRN"
2021-01-01,"Q1","fixed",24,17.621875,11.3224791666667,48,"BRN"
2021-04-01,"Q2","fixed",1067,33.3137991954773,22.5323652968037,18396,"BRN"
2021-07-01,"Q3","fixed",1265,33.0919135942455,22.1302283011179,56443,"BRN"
2021-10-01,"Q4","fixed",1244,34.7939699473381,22.6329742458922,53739,"BRN"
2022-01-01,"Q1","fixed",1212,35.6989224738676,23.1061849092875,33292,"BRN"
2022-04-01,"Q2","fixed",1135,35.1512340740741,23.2451186618877,20925,"BRN"
2019-01-01,"Q1","mobile",482,13.9657656675749,9.7018931880109,1835,"BRN"
2019-04-01,"Q2","mobile",599,23.1059390011437,12.4908658025162,2623,"BRN"
2019-07-01,"Q3","mobile",620,26.0236736415795,12.764714478569,2963,"BRN"
2019-10-01,"Q4","mobile",696,25.2476513605442,14.3343441043084,3528,"BRN"
2020-01-01,"Q1","mobile",1118,26.2170012797075,14.5475299817185,10940,"BRN"
2020-04-01,"Q2","mobile",875,20.4341500930329,14.0747120115774,4837,"BRN"
2020-07-01,"Q3","mobile",704,18.9766367149758,14.2653938808374,3105,"BRN"
2020-10-01,"Q4","mobile",734,32.4712113055182,18.2474919246299,4458,"BRN"
2021-01-01,"Q1","mobile",715,43.2879170968722,20.9407518979654,3293,"BRN"
2021-04-01,"Q2","mobile",767,62.6745372424723,24.2258993660856,3786,"BRN"
2021-07-01,"Q3","mobile",738,60.9380393578457,25.584958829622,3862,"BRN"
2021-10-01,"Q4","mobile",783,67.3295868263473,28.0562626920073,3841,"BRN"
2022-01-01,"Q1","mobile",767,76.2736312729498,29.6334635862913,3268,"BRN"
2022-04-01,"Q2","mobile",681,198.820223889379,39.1616846131215,3399,"BRN"
2019-01-01,"Q1","fixed",33869,16.2275246917775,10.059211152526,603379,"IDN"
